id,class,c1,c2,c3,c4,c5,c6,c8,c9,c14,c17,c18,c20,c22,c23,c27,c32,c40,c43,c46,c47,c48,c54,c55,c56,c57,c58,c59,c60
115,545988074,1746197231,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,Пс,К,Э,Э,л,(РЕ)
116,545988074,-2022619466,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,П,К,Э,Э,л,(РЕ)
117,545988074,-2022619466,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,Пс,К,Э,Э,л,(РЕ)
118,545988074,1761138403,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,П,К,Э,Э,л,(РЕ)
119,545988074,1761138403,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,Пс,К,Э,Э,л,(РЕ)
120,545988074,-578661768,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,0,В,К,Э,Э,л,(РЕ)
121,545988074,-141440989,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,В,К,Э,Э,л,(РЕ)
122,545988074,-141440989,1040736,0,левое,50,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,Т,К,Э,Э,л,(РЕ)
123,545988074,-1265566495,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,В,К,Э,Э,л,(РЕ)
124,545988074,-1265566495,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,Пс,К,Э,Э,л,(РЕ)
125,545988074,530870751,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,В,К,Э,Э,л,(РЕ)
126,545988074,530870751,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,Пс,К,Э,Э,л,(РЕ)
127,545988074,1890689837,1040736,0,левое,30,200.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,В,К,Э,Э,л,(РЕ)
